state_code,district_name,districts,blocks,villages,dugwell,shallow_tubewell,medium_tubewell,deep_tubewell,total_gw_scheme,surface_flow_scheme,surface_lift_scheme,total_sw_scheme,total_water_scheme
AN,NICOBAR,1,3,74,247,1,0,0,248,5,5,10,258
AN,NORTH & MIDDLE ANDAMAN,1,3,192,678,21,0,0,699,342,831,1173,1872
AN,SOUTH ANDAMAN,1,3,114,409,1,0,0,410,5,165,170,580
AS,Baksa,1,10,692,5,1650,0,12,1667,135,89,224,1891
AS,Barpeta,1,12,838,43,14785,1,21,14850,1,5,6,14856
AS,Bongaigaon,1,6,566,3,6042,0,20,6065,23,125,148,6213
AS,Cachar,1,15,1057,0,1,0,1,2,15,1172,1187,1189
AS,Chirang,1,5,505,8,1050,0,0,1058,149,7,156,1214
AS,Darrang,1,7,562,4,9359,0,23,9386,6,4,10,9396
AS,Dhemaji,1,5,1318,2,1454,0,11,1467,2,379,381,1848
AS,Dhubri,1,15,1092,9,14906,2,45,14962,28,142,170,15132
AS,Dibrugarh,1,7,1354,0,4818,7,26,4851,0,100,100,4951
AS,Dima Hasao,1,5,694,1,199,0,1,201,45,1,46,247
AS,Goalpara,1,8,837,14,5918,0,32,5964,96,296,392,6356
AS,Golaghat,1,8,1127,8,2477,0,18,2503,13,615,628,3131
AS,Hailakandi,1,5,332,0,3,0,13,16,5,367,372,388
AS,Jorhat,1,8,855,6,3330,11,136,3483,7,28,35,3518
AS,Kamrup,1,14,1082,14,12346,0,19,12379,739,622,1361,13740
AS,Kamrup Metropolitan,1,4,226,3,917,0,0,920,213,216,429,1349
AS,Karbi Anglong,1,11,2915,2,203,0,4,209,301,35,336,545
AS,Karimganj,1,7,941,0,49,1,6,56,19,435,454,510
AS,Kokrajhar,1,11,1067,1,3580,0,1,3582,56,188,244,3826
AS,Lakhimpur,1,9,1184,17,2541,0,49,2607,2,261,263,2870
AS,Morigaon,1,7,636,4,6425,0,13,6442,1,24,25,6467
AS,Nagaon,1,20,1420,9,16252,0,26,16287,24,420,444,16731
AS,Nalbari,1,7,464,40,4877,0,31,4948,5,32,37,4985
AS,Sivasagar,1,9,876,2,3160,0,31,3193,5,93,98,3291
AS,Sonitpur,1,14,1878,12,5443,0,12,5467,19,353,372,5839
AS,Tinsukia,1,7,1176,2,2468,3,71,2544,1,20,21,2565
AS,Udalguri,1,11,792,6,2989,0,1,2996,468,8,476,3472
BH,ARARIA,1,9,741,1,3430,2253,198,5882,22,10,32,5914
BH,ARWAL,1,5,316,1,693,2774,124,3592,0,0,0,3592
BH,AURANGABAD,1,11,1884,284,4547,6610,265,11706,198,164,362,12068
BH,BANKA,1,11,2110,537,5344,1571,4,7456,148,185,333,7789
BH,BEGUSARAI,1,18,1145,2,3,14698,0,14703,0,5,5,14708
BH,BHAGALPUR,1,16,1519,4121,7367,2020,66,13574,4,178,182,13756
BH,BHOJPUR,1,14,1227,58,10744,12050,994,23846,120,138,258,24104
BH,BUXAR,1,11,1123,14,15798,534,0,16346,0,0,0,16346
BH,DARBHANGA,1,18,1268,29,1245,9017,1727,12018,23,32,55,12073
BH,EAST CHAMPARAN,1,27,1297,130,21579,3722,796,26227,0,2,2,26229
BH,GAYA,1,24,2889,347,22494,12307,84,35232,521,658,1179,36411
BH,GOPAALGANJ,1,14,1566,512,18257,7941,28,26738,0,0,0,26738
BH,JAMUI,1,10,1527,3614,1922,2061,59,7656,563,288,851,8507
BH,JEHANABAD,1,7,587,4,7530,8069,22,15625,11,1,12,15637
BH,KAIMUR (BHABUA),1,11,1696,3273,11824,4241,1290,20628,381,70,451,21079
BH,KATIHAR,1,16,1574,71,20857,6733,79,27740,0,0,0,27740
BH,KHAGARIA,1,7,306,46,7868,1797,1279,10990,15,182,197,11187
BH,KISHANGANJ,1,7,782,13,2415,3121,59,5608,0,0,0,5608
BH,LAKHISARAI,1,7,470,609,547,4644,210,6010,8,13,21,6031
BH,MADHEPURA,1,13,447,14,7568,6764,39,14385,7,25,32,14417
BH,MADHUBANI,1,21,1117,260,11832,6278,159,18529,35,1200,1235,19764
BH,MUNGER,1,9,885,2818,4353,895,402,8468,97,69,166,8634
BH,MUZAFFARPUR,1,16,1806,34,15837,19618,2,35491,0,0,0,35491
BH,NALANDA,1,20,1083,1628,23288,3524,3290,31730,32,2,34,31764
BH,NAWADA,1,14,1064,64,7700,10349,51,18164,329,388,717,18881
BH,PATNA,1,23,1404,86,7075,17689,159,25009,0,0,0,25009
BH,PURNIA,1,14,1272,70,25221,614,0,25905,0,2,2,25907
BH,ROHTAS(SASARAM),1,19,2079,3123,5751,3332,34,12240,30,30,60,12300
BH,SAHARSA,1,10,472,19,6195,1637,23,7874,2,10,12,7886
BH,SAMASTIPUR,1,20,1260,106,6725,25336,288,32455,0,0,0,32455
BH,SARAN,1,20,1769,40,12281,14126,113,26560,0,0,0,26560
BH,SHEKHPURA,1,6,314,36,3348,1380,241,5005,205,9,214,5219
BH,SHEOHAR,1,5,203,5,1218,2563,8,3794,8,4,12,3806
BH,SITAMARHI,1,17,847,501,7600,4361,11,12473,0,0,0,12473
BH,SIWAN,1,19,1529,98,22694,2337,12,25141,9,30,39,25180
BH,SUPAUL,1,11,555,46,9636,2242,19,11943,0,5,5,11948
BH,VAISHALI,1,16,1568,229,13074,7257,46,20606,4,3,7,20613
BH,WEST CHAMPARAN,1,18,1487,34,6092,9416,606,16148,20,0,20,16168
CH,CHANDIGARH,1,1,13,0,17,5,30,52,0,0,0,52
DL,Central,1,1,8,0,345,0,0,345,0,0,0,345
DL,New Delhi,1,1,1,0,0,0,172,172,0,0,0,172
DL,North,1,3,53,0,1528,17,347,1892,0,0,0,1892
DL,North East,1,2,10,0,48,0,30,78,0,0,0,78
DL,North West,1,2,19,0,769,0,31,800,0,0,0,800
DL,Souh East,1,1,5,0,11,0,0,11,0,0,0,11
DL,Souh West,1,3,56,0,139,5,3314,3458,0,0,0,3458
DL,South,1,2,15,0,5,0,633,638,0,0,0,638
DL,West,1,2,11,0,95,0,17,112,0,0,0,112
GA,North Goa,1,6,227,2828,61,1,5,2895,952,443,1395,4290
GA,South Goa,1,6,162,1845,22,0,8,1875,1192,398,1590,3465
GJ,AHMEDABAD,1,9,508,11275,2495,5696,417,19883,545,832,1377,21260
GJ,AMRELI,1,11,595,74409,11072,449,53,85983,2314,924,3238,89221
GJ,ANAND,1,8,369,2154,6776,3171,0,12101,1,77,78,12179
GJ,ARAVALLI,1,6,675,32529,3854,2765,119,39267,256,810,1066,40333
GJ,BANASKANTHA,1,14,1236,17214,10892,61644,11632,101382,401,605,1006,102388
GJ,BHARUCH,1,9,671,2449,4595,1460,250,8754,0,111,111,8865
GJ,BHAVNAGAR,1,10,700,59222,6717,35,8,65982,1469,475,1944,67926
GJ,BOTAD,1,4,187,25838,10,496,0,26344,1334,296,1630,27974
