state_name,districts,blocks,villages,dugwell,shallow_tubewell,medium_tubewell,deep_tubewell,total_gw_scheme,surface_flow_scheme,surface_lift_scheme,total_sw_scheme,total_water_scheme
ANDAMAN & NICOBARS,3,9,380,1334,23,0,0,1357,352,1001,1353,2710
ANDHRA PRADESH,13,670,17573,212030,185255,212950,377950,988185,51368,14803,66171,1054356
ARUNACHAL PRADESH,15,68,3951,21,14,1,27,63,4710,6,4716,4779
ASSAM,27,247,26486,215,127242,25,623,128105,2378,6037,8415,136520
BIHAR,38,534,45188,22877,361952,245881,12787,643497,2792,3703,6495,649992
CHANDIGARH,1,1,13,0,17,5,30,52,0,0,0,52
CHHATISGARH,27,150,20283,47611,45676,118034,75095,286416,12243,17049,29292,315708
DELHI,9,17,178,0,2940,22,4544,7506,0,0,0,7506
GOA,2,12,389,4673,83,1,13,4770,2144,841,2985,7755
GUJARAT,33,247,18490,932267,148909,171123,29693,1281992,12346,35888,48234,1330226
HARYANA,21,78,7083,28,90419,51962,207902,350311,498,100,598,350909
HIMACHAL PRADESH,12,141,21175,664,4423,2124,1021,8232,12049,493,12542,20774
JAMMU & KASHMIR,22,217,7096,295,7849,117,71,8332,2806,175,2981,11313
JHARKHAND,24,260,32637,177923,5610,1627,417,185577,51044,14603,65647,251224
KARNATAKA,30,176,29385,217971,386416,492850,118763,1216000,66526,71363,137889,1353889
KERALA,14,166,1043,74258,4503,1939,1768,82468,7406,13783,21189,103657
MADHYA PRADESH,51,313,56196,1419654,107706,269047,166631,1963038,55339,63852,119191,2082229
MAHARASHTRA,33,355,43943,2271776,103461,131379,131378,2637994,93098,189782,282880,2920874
MANIPUR,9,38,2677,0,0,0,0,0,713,153,866,866
MEGHALAYA,11,39,6636,80,1157,0,1,1238,7944,56,8000,9238
MIZORAM,8,29,830,0,0,0,0,0,4281,0,4281,4281
NAGALAND,11,74,1114,12,15,13,0,40,17021,45,17066,17106
ODISHA,30,314,50131,323234,49978,24676,11152,409040,35137,47217,82354,491394
PUDUCHERRY,3,14,123,57,600,1815,1342,3814,684,0,684,4498
PUNJAB,22,139,12975,0,248679,384709,485379,1118767,199,1997,2196,1120963
RAJASTHAN,33,314,45567,875614,36211,141535,396173,1449533,1183,20352,21535,1471068
SIKKIM,4,412,989,0,0,0,0,0,1749,0,1749,1749
TAMIL NADU,31,385,17488,1582718,145248,73622,223978,2025566,44772,2179,46951,2072517
TELANGANA,9,448,10653,505352,108853,571316,270634,1456155,36078,30059,66137,1522292
TRIPURA,8,58,1178,155,523,1993,210,2881,261,1931,2192,5073
UTTARAKHAND,13,95,16321,338,47141,5492,1149,54120,36706,692,37398,91518
UTTAR PRADESH,75,821,106805,108688,3332304,250101,87249,3778342,8146,14798,22944,3801286
WEST BENGAL,19,343,41808,5754,387494,22433,12812,428493,20183,47135,67318,495811
