state_name,state_code,district_name,financial_year,hh_issued_jobcards_sc,hh_issued_jobcards_st,hh_issued_jobcards_others,hh_issued_jobcards_total,hh_provided_employment_sc,hh_provided_employment_st,hh_provided_employment_others,hh_provided_employment_total,women_provided_employment,persondays_sc,persondays_st,persondays_others,persondays_total,persondays_women,families_completing_100_days_sc,families_completing_100_days_st,families_completing_100_days_others,families_completing_100_days_total
ANDHRA PRADESH,0,ANANTAPUR,2014-2015,144066,35734,605203,785003,53164,12506,194571,260241,248286,2959385,724664,11251546,14935595,8120432,8730,2291,33964,44985
ANDHRA PRADESH,0,CHITTOOR,2014-2015,176835,35770,442257,654862,59746,7201,115307,182254,163933,3118045,365844,6477169,9961058,5890830,11455,1420,25767,38642
ANDHRA PRADESH,0,CUDDAPAH,2014-2015,135506,17758,404901,558165,49671,4423,137451,191545,185028,2518535,224506,7405086,10148127,6515437,7134,658,20713,28505
ANDHRA PRADESH,0,EAST GODAVARI,2014-2015,214787,95581,460742,771110,109217,45478,164192,318887,241054,4439124,2361927,5725839,12526890,6879248,7584,6416,8302,22302
ANDHRA PRADESH,0,GUNTUR,2014-2015,228947,56213,443410,728570,92999,16644,148050,257693,234119,2813901,603545,4163856,7581302,4119164,1900,1005,2535,5440
ANDHRA PRADESH,0,KRISHNA,2014-2015,218237,24781,336561,579579,82089,7461,113406,202956,181777,2468370,305539,3226996,6000905,3472437,2496,650,2580,5726
ANDHRA PRADESH,0,KURNOOL,2014-2015,178436,20117,546460,745013,60369,5626,149913,215908,213967,2255385,271121,5429436,7955942,4528880,3718,698,7452,11868
ANDHRA PRADESH,0,NELLORE,2014-2015,187388,74006,302506,563900,61998,11105,91878,164981,147626,2112777,368955,3186033,5667765,3377865,2589,567,3675,6831
ANDHRA PRADESH,0,PRAKASAM,2014-2015,203324,39666,454518,697508,99972,10678,216568,327218,317596,4354927,517378,9314326,14186631,8642910,7933,1140,14037,23110
ANDHRA PRADESH,0,SRIKAKULAM,2014-2015,59464,44012,458520,561996,37771,31049,285281,354101,339484,2239204,2075451,15190010,19504665,12776249,6878,8617,34548,50043
