state_name,state_code,financial_year,hh_issued_jobcards_sc,hh_issued_jobcards_st,hh_issued_jobcards_others,hh_issued_jobcards_total,hh_provided_employment_sc,hh_provided_employment_st,hh_provided_employment_others,hh_provided_employment_total,women_provided_employment,persondays_sc,persondays_st,persondays_others,persondays_total,persondays_women,families_completing_100_days_sc,families_completing_100_days_st,families_completing_100_days_others,families_completing_100_days_total
ANDHRA PRADESH,0,2014-2015,2053200,716900,5512000,8282200,831800,333000,2142000,3306800,3052600,35578800,18565400,101982100,156126300,92505600,79100,55800,248000,383000
ARUNACHAL PRADESH,0,2014-2015,100,184700,16500,201300,100,129200,7700,137000,45800,1400,1748500,188500,1938400,584900,0,0,0,0
ASSAM,0,2014-2015,264100,713600,3444300,4422000,61700,176200,727000,964800,388200,1292100,3191500,16533800,21017400,5912700,700,1100,8400,10200
BIHAR,0,2014-2015,3385000,221400,9177500,12783900,252800,15500,694100,962400,440700,8718500,486600,22657700,31862900,11964500,7300,300,18500,26200
CHHATTISGARH,0,2014-2015,420800,1368500,2204100,3993400,180500,586600,981200,1748300,1603700,6012200,17817900,31757200,55587400,27722600,6000,14600,27400,48100
GOA,0,2014-2015,800,9400,22100,32200,300,1900,5100,7200,5700,5700,47800,119000,172500,129100,0,0,100,100
GUJARAT,0,2014-2015,263000,1257600,1894700,3415300,32600,227600,252800,513100,408600,1262400,7228200,9658800,18149400,7847300,1400,5400,9700,16500
HARYANA,0,2014-2015,343800,0,429000,772800,101200,0,116700,217900,139900,2704800,100,3459800,6164700,2567800,1900,0,3500,5400
HIMACHAL PRADESH,0,2014-2015,318400,71600,783500,1173500,125800,33300,293600,452700,334000,5172400,1566800,12340500,19079700,11643600,5300,1900,14400,21600
JAMMU AND KASHMIR,0,2014-2015,85200,179300,953800,1218300,17500,66300,241400,325200,106700,547700,2423900,8788800,11760400,2950000,400,1100,6100,7600
JHARKHAND,0,2014-2015,462800,1389000,1787600,3639300,138700,429900,542300,1110900,546300,6150300,16116100,23061200,45327600,14530600,13300,26300,42800,82400
KARNATAKA,0,2014-2015,935800,454000,4146400,5536200,179600,84300,829400,1093300,1406800,7094000,3576000,32627400,43297400,20288400,6800,3200,31200,41200
KERALA,0,2014-2015,394000,95000,2537100,3026100,226400,51600,1102200,1380200,1316800,10378000,2700200,45794600,58872800,54257700,18000,5700,74900,98600
LADAKH,0,2014-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,0,2014-2015,1408400,2583800,4798700,8790900,449800,931000,1412300,2793100,2594900,19134100,35214500,63137100,117485600,50770300,26300,42900,89400,158600
MAHARASHTRA,0,2014-2015,762500,1058100,5851200,7671800,116200,216800,826600,1159600,965500,6219800,11470200,43691500,61381500,26678700,17000,31300,117100,165400
MANIPUR,0,2014-2015,14500,242400,271800,528700,13800,232300,222700,468900,197100,321500,5221600,4574200,10117200,3870600,0,0,0,0
MEGHALAYA,0,2014-2015,3800,452500,29600,485800,3200,323700,24300,351100,216300,119600,15769300,843000,16731900,7115700,100,32000,500,32500
