state_name,district_name,year,month,demand
ANDHRA PRADESH,ANANTAPUR,2014,4,257113
ANDHRA PRADESH,ANANTAPUR,2014,5,246549
ANDHRA PRADESH,ANANTAPUR,2014,6,217353
ANDHRA PRADESH,ANANTAPUR,2014,7,142241
ANDHRA PRADESH,ANANTAPUR,2014,8,108230
ANDHRA PRADESH,ANANTAPUR,2014,9,73805
ANDHRA PRADESH,ANANTAPUR,2014,10,41461
ANDHRA PRADESH,ANANTAPUR,2014,11,58906
ANDHRA PRADESH,ANANTAPUR,2014,12,117472
ANDHRA PRADESH,ANANTAPUR,2015,1,114194
ANDHRA PRADESH,ANANTAPUR,2015,2,162324
ANDHRA PRADESH,ANANTAPUR,2015,3,189064
ANDHRA PRADESH,CHITTOOR,2014,4,136115
ANDHRA PRADESH,CHITTOOR,2014,5,131820
ANDHRA PRADESH,CHITTOOR,2014,6,133192
ANDHRA PRADESH,CHITTOOR,2014,7,117821
ANDHRA PRADESH,CHITTOOR,2014,8,104399
ANDHRA PRADESH,CHITTOOR,2014,9,97973
ANDHRA PRADESH,CHITTOOR,2014,10,79589
ANDHRA PRADESH,CHITTOOR,2014,11,65456
ANDHRA PRADESH,CHITTOOR,2014,12,67359
ANDHRA PRADESH,CHITTOOR,2015,1,55567
ANDHRA PRADESH,CHITTOOR,2015,2,67599
ANDHRA PRADESH,CHITTOOR,2015,3,105528
ANDHRA PRADESH,CUDDAPAH,2014,4,171018
ANDHRA PRADESH,CUDDAPAH,2014,5,177934
ANDHRA PRADESH,CUDDAPAH,2014,6,178544
ANDHRA PRADESH,CUDDAPAH,2014,7,133214
ANDHRA PRADESH,CUDDAPAH,2014,8,92382
ANDHRA PRADESH,CUDDAPAH,2014,9,62325
ANDHRA PRADESH,CUDDAPAH,2014,10,35974
ANDHRA PRADESH,CUDDAPAH,2014,11,22361
ANDHRA PRADESH,CUDDAPAH,2014,12,27621
ANDHRA PRADESH,CUDDAPAH,2015,1,25680
ANDHRA PRADESH,CUDDAPAH,2015,2,36610
ANDHRA PRADESH,CUDDAPAH,2015,3,123514
ANDHRA PRADESH,EAST GODAVARI,2014,4,199153
ANDHRA PRADESH,EAST GODAVARI,2014,5,244927
ANDHRA PRADESH,EAST GODAVARI,2014,6,261515
ANDHRA PRADESH,EAST GODAVARI,2014,7,152731
ANDHRA PRADESH,EAST GODAVARI,2014,8,57702
ANDHRA PRADESH,EAST GODAVARI,2014,9,37106
ANDHRA PRADESH,EAST GODAVARI,2014,10,30141
ANDHRA PRADESH,EAST GODAVARI,2014,11,23344
ANDHRA PRADESH,EAST GODAVARI,2014,12,24154
ANDHRA PRADESH,EAST GODAVARI,2015,1,19071
ANDHRA PRADESH,EAST GODAVARI,2015,2,75735
ANDHRA PRADESH,EAST GODAVARI,2015,3,144469
ANDHRA PRADESH,GUNTUR,2014,4,103560
ANDHRA PRADESH,GUNTUR,2014,5,221309
ANDHRA PRADESH,GUNTUR,2014,6,228617
ANDHRA PRADESH,GUNTUR,2014,7,84593
ANDHRA PRADESH,GUNTUR,2014,8,29522
ANDHRA PRADESH,GUNTUR,2014,9,9817
ANDHRA PRADESH,GUNTUR,2014,10,5752
ANDHRA PRADESH,GUNTUR,2014,11,2234
ANDHRA PRADESH,GUNTUR,2014,12,1063
ANDHRA PRADESH,GUNTUR,2015,1,187
ANDHRA PRADESH,GUNTUR,2015,2,1254
ANDHRA PRADESH,GUNTUR,2015,3,14980
ANDHRA PRADESH,KRISHNA,2014,4,122047
ANDHRA PRADESH,KRISHNA,2014,5,177830
