state_name,year,month,demand
ANDHRA PRADESH,2014,4,2568908
ANDHRA PRADESH,2014,5,2844589
ANDHRA PRADESH,2014,6,2884552
ANDHRA PRADESH,2014,7,1950953
ANDHRA PRADESH,2014,8,1083924
ANDHRA PRADESH,2014,9,651258
ANDHRA PRADESH,2014,10,418937
ANDHRA PRADESH,2014,11,324543
ANDHRA PRADESH,2014,12,518184
ANDHRA PRADESH,2015,1,657819
ANDHRA PRADESH,2015,2,1084181
ANDHRA PRADESH,2015,3,1788052
ARUNACHAL PRADESH,2014,4,14443
ARUNACHAL PRADESH,2014,5,5402
ARUNACHAL PRADESH,2014,6,14677
ARUNACHAL PRADESH,2014,7,18333
ARUNACHAL PRADESH,2014,8,9498
ARUNACHAL PRADESH,2014,9,22170
ARUNACHAL PRADESH,2014,10,13329
ARUNACHAL PRADESH,2014,11,9886
ARUNACHAL PRADESH,2014,12,27792
ARUNACHAL PRADESH,2015,1,35105
ARUNACHAL PRADESH,2015,2,35241
ARUNACHAL PRADESH,2015,3,63416
ASSAM,2014,4,62471
ASSAM,2014,5,80800
ASSAM,2014,6,104545
ASSAM,2014,7,140326
ASSAM,2014,8,245898
ASSAM,2014,9,308408
ASSAM,2014,10,287656
ASSAM,2014,11,234278
ASSAM,2014,12,287066
ASSAM,2015,1,157890
ASSAM,2015,2,133292
ASSAM,2015,3,328908
BIHAR,2014,4,376815
BIHAR,2014,5,543395
BIHAR,2014,6,600014
BIHAR,2014,7,212939
BIHAR,2014,8,221046
BIHAR,2014,9,189969
BIHAR,2014,10,144551
BIHAR,2014,11,114871
BIHAR,2014,12,94453
BIHAR,2015,1,65786
BIHAR,2015,2,35520
BIHAR,2015,3,49494
CHHATTISGARH,2014,4,1210698
CHHATTISGARH,2014,5,1410261
CHHATTISGARH,2014,6,1238022
CHHATTISGARH,2014,7,217092
CHHATTISGARH,2014,8,62510
CHHATTISGARH,2014,9,49335
CHHATTISGARH,2014,10,17654
CHHATTISGARH,2014,11,11123
CHHATTISGARH,2014,12,11484
CHHATTISGARH,2015,1,8679
CHHATTISGARH,2015,2,10789
CHHATTISGARH,2015,3,17026
GOA,2014,4,1021
GOA,2014,5,2206
GOA,2014,6,2299
GOA,2014,7,2038
GOA,2014,8,1730
GOA,2014,9,2782
GOA,2014,10,2181
GOA,2014,11,1113
